29.87819,121.54945,3491597,15;
10.82302,106.62965,3467331,7;
32.6475,110.77806,3460000,247;
-33.92584,18.42322,3433441,25;
37.86944,112.56028,3426519,795;
52.52437,13.41053,3426354,43;
39.63333,118.18333,3372102,36;
31.86389,117.28083,3310268,24;
40.4165,-3.70256,3255944,665;
39.03385,125.75432,3222000,43;
33.58831,-7.61138,3144909,27;
36.79056,118.06333,3129228,51;
21.31992,110.5723,3121275,14;
-29.8579,31.0292,3120282,21;
28.19874,112.97087,3093980,67;
34.52813,69.17233,3043532,1798;
43.80096,87.60046,3029372,862;
10.48801,-66.87919,3000000,887;
18.51957,73.85535,2935744,554;
21.19594,72.83023,2894504,20;
21.54238,39.19797,2867446,21;
38.04139,114.47861,2834942,77;
26.46523,80.34975,2823249,137;
50.45466,30.5238,2797553,187;
-8.83682,13.23432,2776168,73;
14.6488,121.0509,2761720,49;
9.02497,38.74689,2757729,2405;
-1.28333,36.81667,2750547,1684;
41.85003,-87.65005,2720546,180;
-12.97111,-38.51083,2711840,10;
26.91962,75.78781,2711758,435;
33.50389,119.14417,2700000,9;
-6.82349,39.26951,2698652,24;
36.05701,103.83987,2628426,1521;
37.45646,126.70515,2628000,43;
22.92833,112.03954,2612800,76;
43.70011,-79.4163,2600000,175;
19.03681,73.01582,2600000,14;
30.50852,47.7804,2600000,4;
34.69374,135.50218,2592413,24;
2.03711,45.34375,2587183,12;
35.87028,128.59111,2566540,45;
31.41554,73.08969,2506595,186;
38.41273,27.13838,2500603,122;
14.6937,-17.44406,2476400,12;
26.83928,80.92313,2472011,126;
30.00808,31.21093,2443203,30;
-3.71722,-38.54306,2400000,18;
3.43722,-76.5225,2392877,967;
-7.24917,112.75083,2374658,8;
-19.92083,-43.93778,2373224,872;
28.68396,115.85306,2357839,20;
41.89193,12.51133,2318895,52;
36.31559,59.56796,2307177,1003;
40.6501,-73.94958,2300664,18;
29.76328,-95.36327,2296224,30;
40.68149,-73.83652,2272771,13;
21.14631,79.08491,2228018,319;
10.66663,-71.61245,2225000,40;
-15.77972,-47.92972,2207718,1136;
18.47186,-69.89232,2201941,9;
35.18147,136.90641,2191279,23;
-27.46794,153.02809,2189878,27;
23.13302,-82.38304,2163824,41;
48.85341,2.3488,2138551,42;
36.33271,43.10555,2065597,239;
-26.20227,28.04363,2026469,1767;
22.31667,114.18333,2019533,92;
30.50316,47.81507,2015483,7;
43.25667,76.92861,2000900,787;
18.22056,109.51028,2000000,14;
6.25184,-75.56359,1999979,1500;
41.26465,69.21627,1978028,424;
36.73225,3.08746,1977663,113;
15.55177,32.53241,1974647,381;
5.55602,-0.1969,1963264,33;
-2.19616,-79.88621,1952029,1;
39.6086,109.78157,1940653,1310;
15.35472,44.20667,1937451,2253;
33.89332,35.50157,1916100,40;
-31.95224,115.8614,1896548,34;
43.06667,141.35,1883027,26;
43.85083,126.56028,1881977,196;
44.43225,26.10626,1877155,83;
9.535,-13.68778,1871242,6;
22.71792,75.8333,1837041,550;
19.35529,-99.06224,1820888,2238;
19.60492,-99.06064,1806226,2306;
9.53795,-13.67729,1767200,13;
40.74143,107.38599,1760000,1050;
10.23535,-67.59113,1754256,443;
3.58333,98.66667,1750971,26;
33.59733,73.0479,1743101,499;
53.9,27.56667,1742124,222;
47.49801,19.03991,1741041,111;
36.335,43.11889,1739800,228;
53.57532,10.01534,1739117,8;
-25.42778,-49.27306,1718421,924;
52.22977,21.01178,1702139,113;
-6.92222,107.60694,1699719,714;
-26.26781,27.85849,1695047,1632;
48.20849,16.37208,1691468,193;
34.01325,-6.83255,1655753,46;
20.66682,-103.39182,1640589,1598;
41.38879,2.15899,1621537,47;
-25.74486,28.18783,1619438,1332;
36.20124,37.16117,1602264,401;
45.50884,-73.58781,1600000,216;
31.37762,120.95431,1600000,10;
14.6042,120.9822,1600000,13;
25.59408,85.13563,1599920,53;
23.25469,77.40289,1599914,523;
-3.10194,-60.025,1598210,20;
32.12278,114.06556,1590668,89;
19.03793,-98.20346,1590256,2143;
10.52641,7.43879,1582102,626;
11.56245,104.91601,1573544,20;
33.5102,36.29128,1569394,701;
39.95233,-75.16379,1567442,40;
33.44838,-112.07404,1563025,366;
32.65246,51.67462,1547164,1578;
30.91204,75.85379,1545368,256;
-17.82772,31.05337,1542813,1494;
34.6913,135.183,1528478,35;
-6.2349,106.9896,1520119,18;
22.61626,120.31333,1519711,9;
59.33258,18.0649,1515017,28;
31.72024,-106.46084,1512354,1124;
14.64953,120.96788,1500000,6;
40.78343,-73.96625,1487536,38;
-25.30066,-57.63591,1482200,133;
-8.05389,-34.88111,1478098,8;
36.32139,127.41972,1475221,71;
29.42412,-98.49363,1469845,202;
6.68848,-1.62443,1468609,270;
6.13328,102.2386,1459994,10;
35.02107,135.75385,1459640,50;
